"","alpha_hat_ij_Forb","focal","year","complexity.plant","complexity.animal"
"284",-0.282194553010288,"CHFU","All","class","group"
"285",-0.346543378244223,"CHFU","All","class","group"
"286",-0.338319520277596,"CHFU","All","class","group"
"287",-0.349018663748334,"CHFU","All","class","group"
"288",-0.414717212369408,"CHFU","All","class","group"
"289",-0.367008894384872,"CHFU","All","class","group"
"290",-0.254556065259753,"CHFU","All","class","group"
"291",-0.347145690558173,"CHFU","All","class","group"
"292",-0.397842442883606,"CHFU","All","class","group"
"293",-0.281037645149381,"CHFU","All","class","group"
"294",-0.320110729753839,"CHFU","All","class","group"
"295",-0.387009239023103,"CHFU","All","class","group"
"296",-0.311173591470204,"CHFU","All","class","group"
"297",-0.38199056366609,"CHFU","All","class","group"
"298",-0.189645479015482,"CHFU","All","class","group"
"299",-0.438640141433859,"CHFU","All","class","group"
"300",-0.349302262804832,"CHFU","All","class","group"
"301",-0.376056423298792,"CHFU","All","class","group"
"302",-0.252170773286693,"CHFU","All","class","group"
"303",-0.3076377461243,"CHFU","All","class","group"
"304",-0.295453869935347,"CHFU","All","class","group"
"305",-0.25012599592161,"CHFU","All","class","group"
"306",-0.292695360632927,"CHFU","All","class","group"
"307",-0.300490961073405,"CHFU","All","class","group"
"308",-0.384421283928167,"CHFU","All","class","group"
"309",-0.331438524767831,"CHFU","All","class","group"
"310",-0.40133088264229,"CHFU","All","class","group"
"311",-0.299804522913753,"CHFU","All","class","group"
"312",-0.335025086820514,"CHFU","All","class","group"
"313",-0.409886854843587,"CHFU","All","class","group"
"314",-0.453566112377044,"CHFU","All","class","group"
"315",-0.390766971304008,"CHFU","All","class","group"
"316",-0.11670124102612,"CHFU","All","class","group"
"317",-0.272195744882548,"CHFU","All","class","group"
"318",-0.380143825726522,"CHFU","All","class","group"
"319",-0.309726990634624,"CHFU","All","class","group"
"320",-0.480202860623438,"CHFU","All","class","group"
"321",-0.316906275038429,"CHFU","All","class","group"
"322",-0.366037561951114,"CHFU","All","class","group"
"323",-0.352238321129865,"CHFU","All","class","group"
"324",-0.265568928154434,"CHFU","All","class","group"
"325",-0.422810718614968,"CHFU","All","class","group"
"326",-0.343168358203149,"CHFU","All","class","group"
"327",-0.321846205174126,"CHFU","All","class","group"
"328",-0.340496023020122,"CHFU","All","class","group"
"329",-0.266054143562014,"CHFU","All","class","group"
"330",-0.364860658863785,"CHFU","All","class","group"
"331",-0.424295930798035,"CHFU","All","class","group"
"332",-0.382636586457513,"CHFU","All","class","group"
"333",-0.348636834665474,"CHFU","All","class","group"
"334",-0.3235833976287,"CHFU","All","class","group"
"335",-0.327788430322917,"CHFU","All","class","group"
"336",-0.369015153358708,"CHFU","All","class","group"
"337",-0.461041927774289,"CHFU","All","class","group"
"338",-0.313447417940067,"CHFU","All","class","group"
"339",-0.341703136443513,"CHFU","All","class","group"
"340",-0.270464988505521,"CHFU","All","class","group"
"341",-0.337115706505964,"CHFU","All","class","group"
"342",-0.339938283199629,"CHFU","All","class","group"
"343",-0.107158174748187,"CHFU","All","class","group"
"344",-0.450719290279637,"CHFU","All","class","group"
"345",-0.348507278575207,"CHFU","All","class","group"
"346",-0.339735371282236,"CHFU","All","class","group"
"347",-0.219181188176312,"CHFU","All","class","group"
"348",-0.289950758396194,"CHFU","All","class","group"
"349",-0.294193584470859,"CHFU","All","class","group"
"350",-0.404278452738971,"CHFU","All","class","group"
"351",-0.221437082549902,"CHFU","All","class","group"
"352",-0.304693020388439,"CHFU","All","class","group"
"353",-0.257005369965283,"CHFU","All","class","group"
"354",-0.423779599266613,"CHFU","All","class","group"
"355",-0.372881038259714,"CHFU","All","class","group"
"356",-0.353633905660513,"CHFU","All","class","group"
"357",-0.312260355524527,"CHFU","All","class","group"
"358",-0.44749819622614,"CHFU","All","class","group"
"359",-0.350993249224693,"CHFU","All","class","group"
"360",-0.30068790547273,"CHFU","All","class","group"
"361",-0.253747802953491,"CHFU","All","class","group"
"362",-0.305593149452512,"CHFU","All","class","group"
"363",-0.324479310412518,"CHFU","All","class","group"
"364",-0.378286647720094,"CHFU","All","class","group"
"365",-0.272753058276328,"CHFU","All","class","group"
"366",-0.246829966988352,"CHFU","All","class","group"
"367",-0.315895262273315,"CHFU","All","class","group"
"368",-0.521397508263151,"CHFU","All","class","group"
"369",-0.288912062170153,"CHFU","All","class","group"
"370",-0.365106625768074,"CHFU","All","class","group"
"371",-0.297924637524431,"CHFU","All","class","group"
"372",-0.416536766892117,"CHFU","All","class","group"
"373",-0.308687743577606,"CHFU","All","class","group"
"374",-0.281494642450528,"CHFU","All","class","group"
"375",-0.258977151947004,"CHFU","All","class","group"
"376",-0.405523200341544,"CHFU","All","class","group"
"377",-0.296031935406225,"CHFU","All","class","group"
"378",-0.381793208478916,"CHFU","All","class","group"
"379",-0.423230801036371,"CHFU","All","class","group"
"380",-0.376894099674762,"CHFU","All","class","group"
"381",-0.318555710075476,"CHFU","All","class","group"
"382",-0.262264136312814,"CHFU","All","class","group"
"383",-0.255901056910594,"CHFU","All","class","group"
"384",-0.345291296525087,"CHFU","All","class","group"
"385",-0.42187387476646,"CHFU","All","class","group"
"386",-0.311645704981042,"CHFU","All","class","group"
"387",-0.27931764262034,"CHFU","All","class","group"
"388",-0.302919022555174,"CHFU","All","class","group"
"389",-0.385190833052345,"CHFU","All","class","group"
"390",-0.386325070221845,"CHFU","All","class","group"
"391",-0.284147081567058,"CHFU","All","class","group"
"392",-0.333096897636718,"CHFU","All","class","group"
"393",-0.336575751128352,"CHFU","All","class","group"
"394",-0.335686188358976,"CHFU","All","class","group"
"395",-0.199751811840317,"CHFU","All","class","group"
"396",-0.345530764887006,"CHFU","All","class","group"
"397",-0.438923560680432,"CHFU","All","class","group"
"398",-0.354120463423186,"CHFU","All","class","group"
"399",-0.367298414350298,"CHFU","All","class","group"
"400",-0.432666605456372,"CHFU","All","class","group"
"401",-0.309347137568351,"CHFU","All","class","group"
"402",-0.301182575378545,"CHFU","All","class","group"
"403",-0.411711761112102,"CHFU","All","class","group"
"404",-0.31420535347243,"CHFU","All","class","group"
"405",-0.359579257610692,"CHFU","All","class","group"
"406",-0.393039858639588,"CHFU","All","class","group"
"407",-0.281538537027099,"CHFU","All","class","group"
"408",-0.31754271183349,"CHFU","All","class","group"
"409",-0.314302167488307,"CHFU","All","class","group"
"410",-0.311455755604737,"CHFU","All","class","group"
"411",-0.365571143252813,"CHFU","All","class","group"
"412",-0.411270629907296,"CHFU","All","class","group"
"413",-0.292044426432442,"CHFU","All","class","group"
"414",-0.264168447059836,"CHFU","All","class","group"
"415",-0.300882740299518,"CHFU","All","class","group"
"416",-0.342745038535384,"CHFU","All","class","group"
"417",-0.350148438787981,"CHFU","All","class","group"
"418",-0.30456175480481,"CHFU","All","class","group"
"419",-0.343527200472965,"CHFU","All","class","group"
"420",-0.452735527679438,"CHFU","All","class","group"
"421",-0.322170545825999,"CHFU","All","class","group"
"422",-0.379510218935725,"CHFU","All","class","group"
"423",-0.439668674910166,"CHFU","All","class","group"
"424",-0.446739956192138,"CHFU","All","class","group"
"425",-0.333596013690346,"CHFU","All","class","group"
"426",-0.227261251550712,"CHFU","All","class","group"
"427",-0.482601804139102,"CHFU","All","class","group"
"428",-0.449831463337311,"CHFU","All","class","group"
"429",-0.331773638588069,"CHFU","All","class","group"
"430",-0.384552874216231,"CHFU","All","class","group"
"431",-0.346881904127373,"CHFU","All","class","group"
"432",-0.333307483390141,"CHFU","All","class","group"
"433",-0.334516727569317,"CHFU","All","class","group"
"434",-0.405611455978816,"CHFU","All","class","group"
"435",-0.4485804414749,"CHFU","All","class","group"
"436",-0.414224990357223,"CHFU","All","class","group"
"437",-0.419873155357437,"CHFU","All","class","group"
"438",-0.309554770672266,"CHFU","All","class","group"
"439",-0.402063932084157,"CHFU","All","class","group"
"440",-0.290148210621755,"CHFU","All","class","group"
"441",-0.467844905035183,"CHFU","All","class","group"
"442",-0.368284077991996,"CHFU","All","class","group"
"443",-0.288659827031781,"CHFU","All","class","group"
"444",-0.378494141743937,"CHFU","All","class","group"
"445",-0.343632739535483,"CHFU","All","class","group"
"446",-0.391094671532046,"CHFU","All","class","group"
"447",-0.315178731858153,"CHFU","All","class","group"
"448",-0.403259078399025,"CHFU","All","class","group"
"449",-0.449607097494169,"CHFU","All","class","group"
"450",-0.364717322662875,"CHFU","All","class","group"
"451",-0.376616442042395,"CHFU","All","class","group"
"452",-0.404170715865029,"CHFU","All","class","group"
"453",-0.4400757460385,"CHFU","All","class","group"
"454",-0.29754517932239,"CHFU","All","class","group"
"455",-0.343026452615924,"CHFU","All","class","group"
"456",-0.464089122071569,"CHFU","All","class","group"
"457",-0.246255556350627,"CHFU","All","class","group"
"458",-0.409482190622498,"CHFU","All","class","group"
"459",-0.266216607254514,"CHFU","All","class","group"
"460",-0.299318968013592,"CHFU","All","class","group"
"461",-0.400401681379431,"CHFU","All","class","group"
"462",-0.35196888786524,"CHFU","All","class","group"
"463",-0.377888141829731,"CHFU","All","class","group"
"464",-0.322149883784587,"CHFU","All","class","group"
"465",-0.290999976971364,"CHFU","All","class","group"
"466",-0.311909345176847,"CHFU","All","class","group"
"467",-0.287595579395995,"CHFU","All","class","group"
"468",-0.236509929387052,"CHFU","All","class","group"
"469",-0.389227032396059,"CHFU","All","class","group"
"470",-0.293519279071001,"CHFU","All","class","group"
"471",-0.302889336362258,"CHFU","All","class","group"
"472",-0.312399706864768,"CHFU","All","class","group"
"473",-0.473618773124319,"CHFU","All","class","group"
"474",-0.267744329556439,"CHFU","All","class","group"
"475",-0.370307925938584,"CHFU","All","class","group"
"476",-0.349940996807961,"CHFU","All","class","group"
"477",-0.351708127519679,"CHFU","All","class","group"
"478",-0.269551712913878,"CHFU","All","class","group"
"479",-0.2878585535054,"CHFU","All","class","group"
"480",-0.300512387506479,"CHFU","All","class","group"
"481",-0.416831505700768,"CHFU","All","class","group"
"482",-0.457456167623137,"CHFU","All","class","group"
"483",-0.239419163740109,"CHFU","All","class","group"
"484",-0.259165010668436,"CHFU","All","class","group"
"485",-0.279225622605323,"CHFU","All","class","group"
"486",-0.264070175721616,"CHFU","All","class","group"
"487",-0.266391080567213,"CHFU","All","class","group"
"488",-0.393473436649472,"CHFU","All","class","group"
"489",-0.460431144793758,"CHFU","All","class","group"
"490",-0.284884723043563,"CHFU","All","class","group"
"491",-0.383497611999546,"CHFU","All","class","group"
"492",-0.226232394642382,"CHFU","All","class","group"
"493",-0.20838590726275,"CHFU","All","class","group"
"494",-0.286138686779851,"CHFU","All","class","group"
"495",-0.354227629787682,"CHFU","All","class","group"
"496",-0.324634589047164,"CHFU","All","class","group"
"497",-0.366394447770325,"CHFU","All","class","group"
"498",-0.387499935207992,"CHFU","All","class","group"
"499",-0.216857677629416,"CHFU","All","class","group"
"500",-0.358672971340905,"CHFU","All","class","group"
"501",-0.246181885654533,"CHFU","All","class","group"
"502",-0.389172746633581,"CHFU","All","class","group"
"503",-0.335579523884173,"CHFU","All","class","group"
"504",-0.405812800692064,"CHFU","All","class","group"
"505",-0.428498468591767,"CHFU","All","class","group"
"506",-0.315021430780714,"CHFU","All","class","group"
"507",-0.427753415463913,"CHFU","All","class","group"
"508",-0.449834105031992,"CHFU","All","class","group"
"509",-0.167997791551939,"CHFU","All","class","group"
"510",-0.285638385865885,"CHFU","All","class","group"
"511",-0.294972318676401,"CHFU","All","class","group"
"512",-0.330358350018381,"CHFU","All","class","group"
"513",-0.27299711728257,"CHFU","All","class","group"
"514",-0.264577676803169,"CHFU","All","class","group"
"515",-0.358446554033897,"CHFU","All","class","group"
"516",-0.300856941206476,"CHFU","All","class","group"
"517",-0.389476421771785,"CHFU","All","class","group"
"518",-0.311539497952249,"CHFU","All","class","group"
"519",-0.307572080775591,"CHFU","All","class","group"
"520",-0.412338448983126,"CHFU","All","class","group"
"521",-0.391851929296006,"CHFU","All","class","group"
"522",-0.32265364899184,"CHFU","All","class","group"
"523",-0.403309408616754,"CHFU","All","class","group"
"524",-0.262102397858255,"CHFU","All","class","group"
"525",-0.36216073628446,"CHFU","All","class","group"
"526",-0.371900320756095,"CHFU","All","class","group"
"527",-0.311706133960011,"CHFU","All","class","group"
"528",-0.448044169576328,"CHFU","All","class","group"
"529",-0.475627293869873,"CHFU","All","class","group"
"530",-0.37458660726634,"CHFU","All","class","group"
"531",-0.367155149529684,"CHFU","All","class","group"
"532",-0.180900182233928,"CHFU","All","class","group"
"533",-0.398239696995128,"CHFU","All","class","group"
"534",-0.276611424633264,"CHFU","All","class","group"
"535",-0.402202395861915,"CHFU","All","class","group"
"536",-0.372237382094556,"CHFU","All","class","group"
"537",-0.290210653237512,"CHFU","All","class","group"
"538",-0.325020042668036,"CHFU","All","class","group"
"539",-0.304797508083043,"CHFU","All","class","group"
"540",-0.300448740590303,"CHFU","All","class","group"
"541",-0.277616867996837,"CHFU","All","class","group"
"542",-0.2718435431253,"CHFU","All","class","group"
"543",-0.337405197643774,"CHFU","All","class","group"
"544",-0.338570048520132,"CHFU","All","class","group"
"545",-0.341683725504022,"CHFU","All","class","group"
"546",-0.391724144413383,"CHFU","All","class","group"
"547",-0.184823781080903,"CHFU","All","class","group"
"548",-0.305195814367125,"CHFU","All","class","group"
"549",-0.317417275855354,"CHFU","All","class","group"
"550",-0.356926870069218,"CHFU","All","class","group"
"551",-0.278529460427693,"CHFU","All","class","group"
"552",-0.367879909311153,"CHFU","All","class","group"
"553",-0.413314012317154,"CHFU","All","class","group"
"554",-0.340511289356225,"CHFU","All","class","group"
"555",-0.227285933181925,"CHFU","All","class","group"
"556",-0.362390483738788,"CHFU","All","class","group"
"557",-0.445382224196521,"CHFU","All","class","group"
