day,month,year,plot,focal,subplot,code.plant,family,class,fruit,seed,abundance
4,3,2019,3,CHFU,C2,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,SCLA,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,SOAS,Asteraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,SOAS,Asteraceae,Forb,0,0,1
4,3,2019,3,CHFU,C2,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,SOAS,Asteraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,COSQ,Brassicaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,COSQ,Brassicaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,SPRU,Caryophyllaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,SPRU,Caryophyllaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,MEEL,Fabaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,MEEL,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,MEPO,Fabaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,MEPO,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,MESU,Fabaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,MESU,Fabaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,FRPU,Frankeniaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,FRPU,Frankeniaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,CETE,Gentianaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,CETE,Gentianaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,LYTR,Lythraceae,Forb,0,0,0
13,5,2021,9,CETE,C2,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,LYTR,Lythraceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,C1,PLCO,Plantaginaceae,Forb,0,0,0
13,5,2021,9,CETE,C2,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,C2,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,D1,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,D3,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,D6,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,E5,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,E6,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,F3,PLCO,Plantaginaceae,Forb,0,0,0
4,3,2019,3,CHFU,A5,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,C1,ANAR,Primulacea,Forb,0,0,0
13,5,2021,9,CETE,C2,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,C2,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,D1,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,D3,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,D6,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,E5,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,E6,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,F3,ANAR,Primulacea,Forb,0,0,0
4,3,2019,3,CHFU,A5,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,C1,RAPE,Ranunculuc,Forb,0,0,0
13,5,2021,9,CETE,C2,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,C2,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,D1,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,D3,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,D6,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,E5,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,E6,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,F3,RAPE,Ranunculuc,Forb,0,0,0
4,3,2019,3,CHFU,A5,HOMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,C1,HOMA,Poaceae,Grass,0,0,0
13,5,2021,9,CETE,C2,HOMA,Poaceae,Grass,0,0,1
4,3,2019,3,CHFU,C2,HOMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D1,HOMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D3,HOMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D6,HOMA,Poaceae,Grass,0,0,20
4,3,2019,3,CHFU,E5,HOMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,E6,HOMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,F3,HOMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,A5,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,C1,PAIN,Poaceae,Grass,0,0,0
13,5,2021,9,CETE,C2,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,C2,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D1,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D3,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D6,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,E5,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,E6,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,F3,PAIN,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,A5,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,C1,POMA,Poaceae,Grass,0,0,0
13,5,2021,9,CETE,C2,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,C2,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D1,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D3,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D6,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,E5,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,E6,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,F3,POMA,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,A5,POMO,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,C1,POMO,Poaceae,Grass,0,0,0
13,5,2021,9,CETE,C2,POMO,Poaceae,Grass,0,0,1
4,3,2019,3,CHFU,C2,POMO,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D1,POMO,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D3,POMO,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,D6,POMO,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,E5,POMO,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,E6,POMO,Poaceae,Grass,0,0,0
4,3,2019,3,CHFU,F3,POMO,Poaceae,Grass,0,0,0
9,4,2019,4,HOMA,F6,BEMA,Amaranthaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,SASO,Amaranthaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,SUSP,Amaranthaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,ACHI,Asteraceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,CHFU,Asteraceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,CHMI,Asteraceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,LEMA,Asteraceae,Forb,1,0.20844574056871512,1
9,4,2019,4,HOMA,F6,PUPA,Asteraceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,SCLA,Asteraceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,SOAS,Asteraceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,COSQ,Brassicaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,SPRU,Caryophyllaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,MEEL,Fabaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,MEPO,Fabaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,MESU,Fabaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,FRPU,Frankeniaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,CETE,Gentianaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,LYTR,Lythraceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,PLCO,Plantaginaceae,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,ANAR,Primulacea,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,RAPE,Ranunculuc,Forb,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,HOMA,Poaceae,Grass,1,0.20844574056871512,40
9,4,2019,4,HOMA,F6,PAIN,Poaceae,Grass,1,0.20844574056871512,0
9,4,2019,4,HOMA,F6,POMA,Poaceae,Grass,1,0.20844574056871512,3
9,4,2019,4,HOMA,F6,POMO,Poaceae,Grass,1,0.20844574056871512,0
16,4,2020,7,LEMA,B2,BEMA,Amaranthaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,SASO,Amaranthaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,SUSP,Amaranthaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,ACHI,Asteraceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,CHFU,Asteraceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,CHMI,Asteraceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,LEMA,Asteraceae,Forb,6,0.28059608284987325,3
16,4,2020,7,LEMA,B2,PUPA,Asteraceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,SCLA,Asteraceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,SOAS,Asteraceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,COSQ,Brassicaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,SPRU,Caryophyllaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,MEEL,Fabaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,MEPO,Fabaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,MESU,Fabaceae,Forb,6,0.28059608284987325,1
16,4,2020,7,LEMA,B2,FRPU,Frankeniaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,CETE,Gentianaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,LYTR,Lythraceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,PLCO,Plantaginaceae,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,ANAR,Primulacea,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,RAPE,Ranunculuc,Forb,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,HOMA,Poaceae,Grass,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,PAIN,Poaceae,Grass,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,POMA,Poaceae,Grass,6,0.28059608284987325,0
16,4,2020,7,LEMA,B2,POMO,Poaceae,Grass,6,0.28059608284987325,1
1,4,2020,7,CHFU,B1,BEMA,Amaranthaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,SASO,Amaranthaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,SUSP,Amaranthaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,ACHI,Asteraceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,CHFU,Asteraceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,CHMI,Asteraceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,LEMA,Asteraceae,Forb,1,0.4389834462474244,3
1,4,2020,7,CHFU,B1,PUPA,Asteraceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,SCLA,Asteraceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,SOAS,Asteraceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,COSQ,Brassicaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,SPRU,Caryophyllaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,MEEL,Fabaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,MEPO,Fabaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,MESU,Fabaceae,Forb,1,0.4389834462474244,3
1,4,2020,7,CHFU,B1,FRPU,Frankeniaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,CETE,Gentianaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,LYTR,Lythraceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,PLCO,Plantaginaceae,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,ANAR,Primulacea,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,RAPE,Ranunculuc,Forb,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,HOMA,Poaceae,Grass,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,PAIN,Poaceae,Grass,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,POMA,Poaceae,Grass,1,0.4389834462474244,0
1,4,2020,7,CHFU,B1,POMO,Poaceae,Grass,1,0.4389834462474244,1
16,4,2020,8,LEMA,D3,BEMA,Amaranthaceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,SASO,Amaranthaceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,SUSP,Amaranthaceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,ACHI,Asteraceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,CHFU,Asteraceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,CHMI,Asteraceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,LEMA,Asteraceae,Forb,3,0.4713849858887939,1
16,4,2020,8,LEMA,D3,PUPA,Asteraceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,SCLA,Asteraceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,SOAS,Asteraceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,COSQ,Brassicaceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,SPRU,Caryophyllaceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,MEEL,Fabaceae,Forb,3,0.4713849858887939,0
16,4,2020,8,LEMA,D3,MEPO,Fabaceae,Forb,3,0.4713849858887939,0
